"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Japan","1988","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1989","1314006","1"
"Japan","1988","Total","January","Data tabulated by year of occurrence","Final figure, complete","1989","106395","1"
"Japan","1988","Total","February","Data tabulated by year of occurrence","Final figure, complete","1989","98756","1"
"Japan","1988","Total","March","Data tabulated by year of occurrence","Final figure, complete","1989","106419","1"
"Japan","1988","Total","April","Data tabulated by year of occurrence","Final figure, complete","1989","105059","1"
"Japan","1988","Total","May","Data tabulated by year of occurrence","Final figure, complete","1989","109922","1"
"Japan","1988","Total","June","Data tabulated by year of occurrence","Final figure, complete","1989","108663","1"
"Japan","1988","Total","July","Data tabulated by year of occurrence","Final figure, complete","1989","115287","1"
"Japan","1988","Total","August","Data tabulated by year of occurrence","Final figure, complete","1989","118994","1"
"Japan","1988","Total","September","Data tabulated by year of occurrence","Final figure, complete","1989","115611","1"
"Japan","1988","Total","October","Data tabulated by year of occurrence","Final figure, complete","1989","114451","1"
"Japan","1988","Total","November","Data tabulated by year of occurrence","Final figure, complete","1989","106814","1"
"Japan","1988","Total","December","Data tabulated by year of occurrence","Final figure, complete","1989","107635","1"
"Japan","1987","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1988","1346658","1"
"Japan","1987","Total","January","Data tabulated by year of occurrence","Final figure, complete","1988","113130","1"
"Japan","1987","Total","February","Data tabulated by year of occurrence","Final figure, complete","1988","101619","1"
"Japan","1987","Total","March","Data tabulated by year of occurrence","Final figure, complete","1988","112072","1"
"Japan","1987","Total","April","Data tabulated by year of occurrence","Final figure, complete","1988","109459","1"
"Japan","1987","Total","May","Data tabulated by year of occurrence","Final figure, complete","1988","116004","1"
"Japan","1987","Total","June","Data tabulated by year of occurrence","Final figure, complete","1988","112886","1"
"Japan","1987","Total","July","Data tabulated by year of occurrence","Final figure, complete","1988","121525","1"
"Japan","1987","Total","August","Data tabulated by year of occurrence","Final figure, complete","1988","117306","1"
"Japan","1987","Total","September","Data tabulated by year of occurrence","Final figure, complete","1988","113287","1"
"Japan","1987","Total","October","Data tabulated by year of occurrence","Final figure, complete","1988","112275","1"
"Japan","1987","Total","November","Data tabulated by year of occurrence","Final figure, complete","1988","105854","1"
"Japan","1987","Total","December","Data tabulated by year of occurrence","Final figure, complete","1988","111241","1"
"Japan","1986","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1987","1382946","1"
"Japan","1986","Total","January","Data tabulated by year of occurrence","Final figure, complete","1987","115725","1"
"Japan","1986","Total","February","Data tabulated by year of occurrence","Final figure, complete","1987","105520","1"
"Japan","1986","Total","March","Data tabulated by year of occurrence","Final figure, complete","1987","113925","1"
"Japan","1986","Total","April","Data tabulated by year of occurrence","Final figure, complete","1987","110660","1"
"Japan","1986","Total","May","Data tabulated by year of occurrence","Final figure, complete","1987","116126","1"
"Japan","1986","Total","June","Data tabulated by year of occurrence","Final figure, complete","1987","114143","1"
"Japan","1986","Total","July","Data tabulated by year of occurrence","Final figure, complete","1987","123741","1"
"Japan","1986","Total","August","Data tabulated by year of occurrence","Final figure, complete","1987","118972","1"
"Japan","1986","Total","September","Data tabulated by year of occurrence","Final figure, complete","1987","117616","1"
"Japan","1986","Total","October","Data tabulated by year of occurrence","Final figure, complete","1987","119692","1"
"Japan","1986","Total","November","Data tabulated by year of occurrence","Final figure, complete","1987","110269","1"
"Japan","1986","Total","December","Data tabulated by year of occurrence","Final figure, complete","1987","116557","1"

"footnoteSeqID","Footnote"
"1","Data refer to Japanese nationals in Japan only."
